,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.4875720739364624, 0.5054765939712524)","(0.49839869141578674, 0.5070018768310547)",0.4875720739364624,0.5054765939712524,0.49839869141578674,0.5070018768310547
1,"(0.4867282211780548, 0.5080065727233887)","(0.49509286880493164, 0.5064384341239929)",0.4867282211780548,0.5080065727233887,0.49509286880493164,0.5064384341239929
2,"(0.487507700920105, 0.5077710151672363)","(0.4990491569042206, 0.5089710354804993)",0.487507700920105,0.5077710151672363,0.4990491569042206,0.5089710354804993
3,"(0.48619842529296875, 0.5039004683494568)","(0.5008227229118347, 0.5094500780105591)",0.48619842529296875,0.5039004683494568,0.5008227229118347,0.5094500780105591
4,"(0.4872511625289917, 0.50327467918396)","(0.5031845569610596, 0.5135012269020081)",0.4872511625289917,0.50327467918396,0.5031845569610596,0.5135012269020081
5,"(0.48564574122428894, 0.5060511827468872)","(0.5008153319358826, 0.5183739066123962)",0.48564574122428894,0.5060511827468872,0.5008153319358826,0.5183739066123962
6,"(0.48613908886909485, 0.5077582597732544)","(0.5007730722427368, 0.5196197628974915)",0.48613908886909485,0.5077582597732544,0.5007730722427368,0.5196197628974915
7,"(0.48625320196151733, 0.505050539970398)","(0.5007966160774231, 0.5191954374313354)",0.48625320196151733,0.505050539970398,0.5007966160774231,0.5191954374313354
8,"(0.4871084988117218, 0.5059808492660522)","(0.5029447674751282, 0.5196171998977661)",0.4871084988117218,0.5059808492660522,0.5029447674751282,0.5196171998977661
9,"(0.48717814683914185, 0.5066974759101868)","(0.5017080903053284, 0.5196242928504944)",0.48717814683914185,0.5066974759101868,0.5017080903053284,0.5196242928504944
10,"(0.48679354786872864, 0.5070330500602722)","(0.4979191720485687, 0.5214443206787109)",0.48679354786872864,0.5070330500602722,0.4979191720485687,0.5214443206787109
11,"(0.4913344383239746, 0.5093638300895691)","(0.5006258487701416, 0.524449348449707)",0.4913344383239746,0.5093638300895691,0.5006258487701416,0.524449348449707
12,"(0.49586716294288635, 0.5125228762626648)","(0.5060716271400452, 0.528279721736908)",0.49586716294288635,0.5125228762626648,0.5060716271400452,0.528279721736908
