,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.5194160342216492, 0.5126817226409912)","(0.5007986426353455, 0.4952624440193176)",0.5194160342216492,0.5126817226409912,0.5007986426353455,0.4952624440193176
1,"(0.5208984613418579, 0.5184088349342346)","(0.5009487867355347, 0.5015952587127686)",0.5208984613418579,0.5184088349342346,0.5009487867355347,0.5015952587127686
2,"(0.5175306797027588, 0.5142778158187866)","(0.5030940771102905, 0.5069844126701355)",0.5175306797027588,0.5142778158187866,0.5030940771102905,0.5069844126701355
3,"(0.5202824473381042, 0.5106808543205261)","(0.5034964084625244, 0.5056177377700806)",0.5202824473381042,0.5106808543205261,0.5034964084625244,0.5056177377700806
4,"(0.5166670083999634, 0.5107936859130859)","(0.5036962628364563, 0.5042180418968201)",0.5166670083999634,0.5107936859130859,0.5036962628364563,0.5042180418968201
5,"(0.5179045796394348, 0.509626030921936)","(0.5023897290229797, 0.49456512928009033)",0.5179045796394348,0.509626030921936,0.5023897290229797,0.49456512928009033
6,"(0.516873836517334, 0.5116857290267944)","(0.5026760697364807, 0.492755651473999)",0.516873836517334,0.5116857290267944,0.5026760697364807,0.492755651473999
7,"(0.5173738598823547, 0.513685405254364)","(0.5035913586616516, 0.4902082681655884)",0.5173738598823547,0.513685405254364,0.5035913586616516,0.4902082681655884
8,"(0.5188416838645935, 0.5178460478782654)","(0.502802848815918, 0.4993846118450165)",0.5188416838645935,0.5178460478782654,0.502802848815918,0.4993846118450165
9,"(0.5176206231117249, 0.5153461694717407)","(0.5014133453369141, 0.4984562397003174)",0.5176206231117249,0.5153461694717407,0.5014133453369141,0.4984562397003174
10,"(0.5159156918525696, 0.5074883699417114)","(0.4989604353904724, 0.49619564414024353)",0.5159156918525696,0.5074883699417114,0.4989604353904724,0.49619564414024353
11,"(0.5178632736206055, 0.5025929808616638)","(0.4993586242198944, 0.48789525032043457)",0.5178632736206055,0.5025929808616638,0.4993586242198944,0.48789525032043457
12,"(0.5160254836082458, 0.5020805597305298)","(0.5002442598342896, 0.485205739736557)",0.5160254836082458,0.5020805597305298,0.5002442598342896,0.485205739736557
13,"(0.5209919214248657, 0.502120852470398)","(0.49940577149391174, 0.48700374364852905)",0.5209919214248657,0.502120852470398,0.49940577149391174,0.48700374364852905
14,"(0.516732394695282, 0.5018220543861389)","(0.5003814697265625, 0.48643577098846436)",0.516732394695282,0.5018220543861389,0.5003814697265625,0.48643577098846436
15,"(0.5187428593635559, 0.5006186962127686)","(0.5001986622810364, 0.48775169253349304)",0.5187428593635559,0.5006186962127686,0.5001986622810364,0.48775169253349304
16,"(0.5168864130973816, 0.5015139579772949)","(0.501143217086792, 0.4846833646297455)",0.5168864130973816,0.5015139579772949,0.501143217086792,0.4846833646297455
17,"(0.5174058079719543, 0.5033984780311584)","(0.5016721487045288, 0.48223841190338135)",0.5174058079719543,0.5033984780311584,0.5016721487045288,0.48223841190338135
18,"(0.5174700617790222, 0.5047619938850403)","(0.5010231137275696, 0.4847162663936615)",0.5174700617790222,0.5047619938850403,0.5010231137275696,0.4847162663936615
19,"(0.5179274678230286, 0.5031472444534302)","(0.5024159550666809, 0.48846638202667236)",0.5179274678230286,0.5031472444534302,0.5024159550666809,0.48846638202667236
20,"(0.5202997922897339, 0.5028526186943054)","(0.5017545223236084, 0.4896923899650574)",0.5202997922897339,0.5028526186943054,0.5017545223236084,0.4896923899650574
21,"(0.5194999575614929, 0.5028588771820068)","(0.5019863843917847, 0.486746221780777)",0.5194999575614929,0.5028588771820068,0.5019863843917847,0.486746221780777
22,"(0.5154374837875366, 0.5120069980621338)","(0.5018858909606934, 0.4857640266418457)",0.5154374837875366,0.5120069980621338,0.5018858909606934,0.4857640266418457
23,"(0.5135900378227234, 0.5151206851005554)","(0.49814242124557495, 0.4950580894947052)",0.5135900378227234,0.5151206851005554,0.49814242124557495,0.4950580894947052
24,"(0.5113238096237183, 0.5145596861839294)","(0.4955785274505615, 0.5006101727485657)",0.5113238096237183,0.5145596861839294,0.4955785274505615,0.5006101727485657
25,"(0.51231449842453, 0.5035898089408875)","(0.4933464527130127, 0.5043396353721619)",0.51231449842453,0.5035898089408875,0.4933464527130127,0.5043396353721619
26,"(0.5099440813064575, 0.4965039789676666)","(0.4956543445587158, 0.49778273701667786)",0.5099440813064575,0.4965039789676666,0.4956543445587158,0.49778273701667786
27,"(0.5113807320594788, 0.49451038241386414)","(0.4966505467891693, 0.4952787160873413)",0.5113807320594788,0.49451038241386414,0.4966505467891693,0.4952787160873413
28,"(0.5091710686683655, 0.4980904161930084)","(0.49500003457069397, 0.49202051758766174)",0.5091710686683655,0.4980904161930084,0.49500003457069397,0.49202051758766174
29,"(0.5047184824943542, 0.5039145350456238)","(0.49494409561157227, 0.49534177780151367)",0.5047184824943542,0.5039145350456238,0.49494409561157227,0.49534177780151367
30,"(0.4819583296775818, 0.5004162788391113)","(0.4779447317123413, 0.48760703206062317)",0.4819583296775818,0.5004162788391113,0.4779447317123413,0.48760703206062317
31,"(0.47204771637916565, 0.5002266764640808)","(0.47293969988822937, 0.48442715406417847)",0.47204771637916565,0.5002266764640808,0.47293969988822937,0.48442715406417847
32,"(0.39899659156799316, 0.4654318392276764)","(0.393302857875824, 0.4617076814174652)",0.39899659156799316,0.4654318392276764,0.393302857875824,0.4617076814174652
33,"(0.3286828100681305, 0.4379933774471283)","(0.32571664452552795, 0.4390595257282257)",0.3286828100681305,0.4379933774471283,0.32571664452552795,0.4390595257282257
34,"(0.32972168922424316, 0.438057005405426)","(0.32888397574424744, 0.44296497106552124)",0.32972168922424316,0.438057005405426,0.32888397574424744,0.44296497106552124
35,"(0.33161088824272156, 0.43925005197525024)","(0.32489192485809326, 0.4359610676765442)",0.33161088824272156,0.43925005197525024,0.32489192485809326,0.4359610676765442
36,"(0.3339472711086273, 0.44239386916160583)","(0.32410928606987, 0.43590453267097473)",0.3339472711086273,0.44239386916160583,0.32410928606987,0.43590453267097473
37,"(0.3304607570171356, 0.44214752316474915)","(0.32123324275016785, 0.4301045835018158)",0.3304607570171356,0.44214752316474915,0.32123324275016785,0.4301045835018158
38,"(0.3260405957698822, 0.44547519087791443)","(0.3257790803909302, 0.4298870265483856)",0.3260405957698822,0.44547519087791443,0.3257790803909302,0.4298870265483856
39,"(0.3265368342399597, 0.44573429226875305)","(0.3282415568828583, 0.4291403591632843)",0.3265368342399597,0.44573429226875305,0.3282415568828583,0.4291403591632843
40,"(0.3315671384334564, 0.4424807131290436)","(0.3276900053024292, 0.4296278655529022)",0.3315671384334564,0.4424807131290436,0.3276900053024292,0.4296278655529022
41,"(0.331262469291687, 0.4273732602596283)","(0.3256772756576538, 0.41712602972984314)",0.331262469291687,0.4273732602596283,0.3256772756576538,0.41712602972984314
42,"(0.3258388042449951, 0.4010699987411499)","(0.32255008816719055, 0.3930077850818634)",0.3258388042449951,0.4010699987411499,0.32255008816719055,0.3930077850818634
43,"(0.3237440586090088, 0.3831675946712494)","(0.3233635425567627, 0.37390729784965515)",0.3237440586090088,0.3831675946712494,0.3233635425567627,0.37390729784965515
44,"(0.32383254170417786, 0.37004584074020386)","(0.3228132724761963, 0.35621559619903564)",0.32383254170417786,0.37004584074020386,0.3228132724761963,0.35621559619903564
45,"(0.3254897892475128, 0.3674706816673279)","(0.32324686646461487, 0.3542952537536621)",0.3254897892475128,0.3674706816673279,0.32324686646461487,0.3542952537536621
46,"(0.3248429596424103, 0.36585506796836853)","(0.3233795762062073, 0.35092732310295105)",0.3248429596424103,0.36585506796836853,0.3233795762062073,0.35092732310295105
47,"(0.3253568112850189, 0.3657996654510498)","(0.3226037621498108, 0.354717880487442)",0.3253568112850189,0.3657996654510498,0.3226037621498108,0.354717880487442
48,"(0.32558515667915344, 0.36669567227363586)","(0.3243597745895386, 0.35328367352485657)",0.32558515667915344,0.36669567227363586,0.3243597745895386,0.35328367352485657
49,"(0.3253961503505707, 0.3667653501033783)","(0.3243272304534912, 0.35339978337287903)",0.3253961503505707,0.3667653501033783,0.3243272304534912,0.35339978337287903
50,"(0.3249605596065521, 0.3632061183452606)","(0.32371795177459717, 0.3557531237602234)",0.3249605596065521,0.3632061183452606,0.32371795177459717,0.3557531237602234
51,"(0.3240019381046295, 0.3619115948677063)","(0.32287800312042236, 0.3552761971950531)",0.3240019381046295,0.3619115948677063,0.32287800312042236,0.3552761971950531
52,"(0.32546311616897583, 0.3481162190437317)","(0.32616037130355835, 0.34619927406311035)",0.32546311616897583,0.3481162190437317,0.32616037130355835,0.34619927406311035
53,"(0.3295590877532959, 0.33626994490623474)","(0.3334602117538452, 0.32975712418556213)",0.3295590877532959,0.33626994490623474,0.3334602117538452,0.32975712418556213
54,"(0.3334908187389374, 0.3188587725162506)","(0.3374119997024536, 0.3188951909542084)",0.3334908187389374,0.3188587725162506,0.3374119997024536,0.3188951909542084
55,"(0.33069565892219543, 0.3182990550994873)","(0.3348838686943054, 0.31751811504364014)",0.33069565892219543,0.3182990550994873,0.3348838686943054,0.31751811504364014
56,"(0.32702723145484924, 0.3149265944957733)","(0.32864874601364136, 0.3177933096885681)",0.32702723145484924,0.3149265944957733,0.32864874601364136,0.3177933096885681
57,"(0.3252469301223755, 0.31599685549736023)","(0.328329473733902, 0.3197287917137146)",0.3252469301223755,0.31599685549736023,0.328329473733902,0.3197287917137146
58,"(0.32589855790138245, 0.320943683385849)","(0.3297620713710785, 0.3175796568393707)",0.32589855790138245,0.320943683385849,0.3297620713710785,0.3175796568393707
59,"(0.33009985089302063, 0.32799118757247925)","(0.33615952730178833, 0.3189390301704407)",0.33009985089302063,0.32799118757247925,0.33615952730178833,0.3189390301704407
60,"(0.3309665322303772, 0.3301294147968292)","(0.335706889629364, 0.3181312680244446)",0.3309665322303772,0.3301294147968292,0.335706889629364,0.3181312680244446
61,"(0.32923707365989685, 0.3278708755970001)","(0.33274656534194946, 0.32177016139030457)",0.32923707365989685,0.3278708755970001,0.33274656534194946,0.32177016139030457
62,"(0.32449162006378174, 0.33502423763275146)","(0.32669591903686523, 0.33461007475852966)",0.32449162006378174,0.33502423763275146,0.32669591903686523,0.33461007475852966
63,"(0.3256283700466156, 0.37034526467323303)","(0.3247418701648712, 0.3719893991947174)",0.3256283700466156,0.37034526467323303,0.3247418701648712,0.3719893991947174
64,"(0.3274344205856323, 0.40283867716789246)","(0.3263167440891266, 0.41116514801979065)",0.3274344205856323,0.40283867716789246,0.3263167440891266,0.41116514801979065
65,"(0.32753244042396545, 0.4289194643497467)","(0.3276419937610626, 0.4458959102630615)",0.32753244042396545,0.4289194643497467,0.3276419937610626,0.4458959102630615
66,"(0.32689177989959717, 0.4330235421657562)","(0.3290192484855652, 0.4545696973800659)",0.32689177989959717,0.4330235421657562,0.3290192484855652,0.4545696973800659
67,"(0.3249947726726532, 0.42938268184661865)","(0.32815149426460266, 0.4561082124710083)",0.3249947726726532,0.42938268184661865,0.32815149426460266,0.4561082124710083
68,"(0.32765501737594604, 0.42736005783081055)","(0.3306044042110443, 0.4524275064468384)",0.32765501737594604,0.42736005783081055,0.3306044042110443,0.4524275064468384
69,"(0.3264370560646057, 0.42356622219085693)","(0.33206212520599365, 0.4488619863986969)",0.3264370560646057,0.42356622219085693,0.33206212520599365,0.4488619863986969
70,"(0.3304232954978943, 0.42573410272598267)","(0.33547642827033997, 0.4442764222621918)",0.3304232954978943,0.42573410272598267,0.33547642827033997,0.4442764222621918
71,"(0.3492790162563324, 0.4260002672672272)","(0.359770268201828, 0.4347728490829468)",0.3492790162563324,0.4260002672672272,0.359770268201828,0.4347728490829468
72,"(0.40674883127212524, 0.41618767380714417)","(0.4188399910926819, 0.41341590881347656)",0.40674883127212524,0.41618767380714417,0.4188399910926819,0.41341590881347656
73,"(0.48529139161109924, 0.39741331338882446)","(0.49775049090385437, 0.3857891261577606)",0.48529139161109924,0.39741331338882446,0.49775049090385437,0.3857891261577606
74,"(0.5778889656066895, 0.37767910957336426)","(0.5423084497451782, 0.3717181980609894)",0.5778889656066895,0.37767910957336426,0.5423084497451782,0.3717181980609894
75,"(0.6822330355644226, 0.36392903327941895)","(0.6033715009689331, 0.3600115180015564)",0.6822330355644226,0.36392903327941895,0.6033715009689331,0.3600115180015564
76,"(0.7398406267166138, 0.359967440366745)","(0.7753105163574219, 0.3378714919090271)",0.7398406267166138,0.359967440366745,0.7753105163574219,0.3378714919090271
77,"(0.7682258486747742, 0.35707223415374756)","(0.7783640623092651, 0.3371070623397827)",0.7682258486747742,0.35707223415374756,0.7783640623092651,0.3371070623397827
78,"(0.7744730114936829, 0.35541269183158875)","(0.7722391486167908, 0.34174585342407227)",0.7744730114936829,0.35541269183158875,0.7722391486167908,0.34174585342407227
79,"(0.7702253460884094, 0.35819900035858154)","(0.7713907361030579, 0.3451779782772064)",0.7702253460884094,0.35819900035858154,0.7713907361030579,0.3451779782772064
