,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.49133187532424927, 0.5361513495445251)","(0.4930760860443115, 0.5087448954582214)",0.49133187532424927,0.5361513495445251,0.4930760860443115,0.5087448954582214
1,"(0.4887562394142151, 0.5395469665527344)","(0.49608004093170166, 0.5097259283065796)",0.4887562394142151,0.5395469665527344,0.49608004093170166,0.5097259283065796
2,"(0.4888862073421478, 0.5361842513084412)","(0.4932098984718323, 0.5155020952224731)",0.4888862073421478,0.5361842513084412,0.4932098984718323,0.5155020952224731
3,"(0.48164504766464233, 0.529889702796936)","(0.49691420793533325, 0.5181680917739868)",0.48164504766464233,0.529889702796936,0.49691420793533325,0.5181680917739868
4,"(0.4843147397041321, 0.5257607102394104)","(0.49308544397354126, 0.5087763071060181)",0.4843147397041321,0.5257607102394104,0.49308544397354126,0.5087763071060181
5,"(0.4828506410121918, 0.5225407481193542)","(0.4982820153236389, 0.5082184672355652)",0.4828506410121918,0.5225407481193542,0.4982820153236389,0.5082184672355652
6,"(0.48507627844810486, 0.5208444595336914)","(0.49900585412979126, 0.5145090818405151)",0.48507627844810486,0.5208444595336914,0.49900585412979126,0.5145090818405151
7,"(0.4817779064178467, 0.5187997221946716)","(0.5014718174934387, 0.522027850151062)",0.4817779064178467,0.5187997221946716,0.5014718174934387,0.522027850151062
8,"(0.47784608602523804, 0.5169335603713989)","(0.49821141362190247, 0.5203407406806946)",0.47784608602523804,0.5169335603713989,0.49821141362190247,0.5203407406806946
9,"(0.47849446535110474, 0.5145499110221863)","(0.498805433511734, 0.5195460319519043)",0.47849446535110474,0.5145499110221863,0.498805433511734,0.5195460319519043
10,"(0.4817708432674408, 0.5111438035964966)","(0.49774104356765747, 0.5155215859413147)",0.4817708432674408,0.5111438035964966,0.49774104356765747,0.5155215859413147
11,"(0.48435282707214355, 0.5062640309333801)","(0.4981521964073181, 0.5149211287498474)",0.48435282707214355,0.5062640309333801,0.4981521964073181,0.5149211287498474
12,"(0.4827737808227539, 0.503755509853363)","(0.4975573718547821, 0.5100937485694885)",0.4827737808227539,0.503755509853363,0.4975573718547821,0.5100937485694885
13,"(0.4835377633571625, 0.5060566663742065)","(0.5037513375282288, 0.5102025866508484)",0.4835377633571625,0.5060566663742065,0.5037513375282288,0.5102025866508484
