,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.4639243483543396, 0.5095958709716797)","(0.4550345838069916, 0.48603424429893494)",0.4639243483543396,0.5095958709716797,0.4550345838069916,0.48603424429893494
1,"(0.4648868441581726, 0.5075774192810059)","(0.4605053961277008, 0.4542020261287689)",0.4648868441581726,0.5075774192810059,0.4605053961277008,0.4542020261287689
2,"(0.4675706923007965, 0.4891791343688965)","(0.4600054919719696, 0.44498294591903687)",0.4675706923007965,0.4891791343688965,0.4600054919719696,0.44498294591903687
3,"(0.4655458927154541, 0.47153764963150024)","(0.4607168436050415, 0.43563076853752136)",0.4655458927154541,0.47153764963150024,0.4607168436050415,0.43563076853752136
4,"(0.4648067355155945, 0.5096251964569092)","(0.46229544281959534, 0.4290215075016022)",0.4648067355155945,0.5096251964569092,0.46229544281959534,0.4290215075016022
5,"(0.4658392369747162, 0.5070589184761047)","(0.4654580354690552, 0.41647544503211975)",0.4658392369747162,0.5070589184761047,0.4654580354690552,0.41647544503211975
6,"(0.4674699604511261, 0.5121704936027527)","(0.46529269218444824, 0.41383233666419983)",0.4674699604511261,0.5121704936027527,0.46529269218444824,0.41383233666419983
7,"(0.4689789414405823, 0.5117222666740417)","(0.46614107489585876, 0.4133676290512085)",0.4689789414405823,0.5117222666740417,0.46614107489585876,0.4133676290512085
8,"(0.4671085774898529, 0.5212106704711914)","(0.46475502848625183, 0.4170740842819214)",0.4671085774898529,0.5212106704711914,0.46475502848625183,0.4170740842819214
9,"(0.4661005735397339, 0.5259490013122559)","(0.46659359335899353, 0.4211202561855316)",0.4661005735397339,0.5259490013122559,0.46659359335899353,0.4211202561855316
10,"(0.47053685784339905, 0.5197039246559143)","(0.47159990668296814, 0.4239104390144348)",0.47053685784339905,0.5197039246559143,0.47159990668296814,0.4239104390144348
11,"(0.47792351245880127, 0.545106828212738)","(0.48364531993865967, 0.44414815306663513)",0.47792351245880127,0.545106828212738,0.48364531993865967,0.44414815306663513
12,"(0.4877963662147522, 0.566334068775177)","(0.491765558719635, 0.4660199284553528)",0.4877963662147522,0.566334068775177,0.491765558719635,0.4660199284553528
13,"(0.5006971955299377, 0.5855716466903687)","(0.5009211301803589, 0.4994005262851715)",0.5006971955299377,0.5855716466903687,0.5009211301803589,0.4994005262851715
14,"(0.49991390109062195, 0.5814855694770813)","(0.49543026089668274, 0.5022833943367004)",0.49991390109062195,0.5814855694770813,0.49543026089668274,0.5022833943367004
15,"(0.49787676334381104, 0.568693995475769)","(0.4954015016555786, 0.5108031630516052)",0.49787676334381104,0.568693995475769,0.4954015016555786,0.5108031630516052
16,"(0.49668872356414795, 0.554936945438385)","(0.49807900190353394, 0.5185973644256592)",0.49668872356414795,0.554936945438385,0.49807900190353394,0.5185973644256592
17,"(0.5047541260719299, 0.5268707871437073)","(0.5011793375015259, 0.5171735882759094)",0.5047541260719299,0.5268707871437073,0.5011793375015259,0.5171735882759094
18,"(0.5064980983734131, 0.5141474008560181)","(0.49881210923194885, 0.5140420198440552)",0.5064980983734131,0.5141474008560181,0.49881210923194885,0.5140420198440552
19,"(0.5064980983734131, 0.5141474008560181)","(0.49811241030693054, 0.516350507736206)",0.5064980983734131,0.5141474008560181,0.49811241030693054,0.516350507736206
20,"(0.500473141670227, 0.5298102498054504)","(0.49992635846138, 0.5154175758361816)",0.500473141670227,0.5298102498054504,0.49992635846138,0.5154175758361816
21,"(0.4995337128639221, 0.5480161309242249)","(0.5033255815505981, 0.5185775756835938)",0.4995337128639221,0.5480161309242249,0.5033255815505981,0.5185775756835938
22,"(0.5035606026649475, 0.5682727098464966)","(0.50385981798172, 0.5163522362709045)",0.5035606026649475,0.5682727098464966,0.50385981798172,0.5163522362709045
23,"(0.4987068176269531, 0.5693072080612183)","(0.5017021298408508, 0.5149970650672913)",0.4987068176269531,0.5693072080612183,0.5017021298408508,0.5149970650672913
24,"(0.49894389510154724, 0.5632705092430115)","(0.49965980648994446, 0.5116530656814575)",0.49894389510154724,0.5632705092430115,0.49965980648994446,0.5116530656814575
25,"(0.49681800603866577, 0.5648273229598999)","(0.4990899860858917, 0.5091120004653931)",0.49681800603866577,0.5648273229598999,0.4990899860858917,0.5091120004653931
26,"(0.5010892152786255, 0.5594521760940552)","(0.4993142783641815, 0.5118417143821716)",0.5010892152786255,0.5594521760940552,0.4993142783641815,0.5118417143821716
27,"(0.5030899047851562, 0.5632804036140442)","(0.4987172484397888, 0.515284538269043)",0.5030899047851562,0.5632804036140442,0.4987172484397888,0.515284538269043
28,"(0.5045282244682312, 0.5699285864830017)","(0.49866655468940735, 0.5164668560028076)",0.5045282244682312,0.5699285864830017,0.49866655468940735,0.5164668560028076
29,"(0.5054872632026672, 0.581275463104248)","(0.5008882880210876, 0.5107131600379944)",0.5054872632026672,0.581275463104248,0.5008882880210876,0.5107131600379944
30,"(0.505485475063324, 0.5829144716262817)","(0.49598339200019836, 0.5160415768623352)",0.505485475063324,0.5829144716262817,0.49598339200019836,0.5160415768623352
31,"(0.5060040950775146, 0.5719864368438721)","(0.4956813454627991, 0.5178724527359009)",0.5060040950775146,0.5719864368438721,0.4956813454627991,0.5178724527359009
32,"(0.50372314453125, 0.5591292977333069)","(0.49493902921676636, 0.5167942643165588)",0.50372314453125,0.5591292977333069,0.49493902921676636,0.5167942643165588
33,"(0.5036956071853638, 0.5565759539604187)","(0.49951571226119995, 0.5114018321037292)",0.5036956071853638,0.5565759539604187,0.49951571226119995,0.5114018321037292
34,"(0.5027285218238831, 0.559546172618866)","(0.4988812506198883, 0.5130180716514587)",0.5027285218238831,0.559546172618866,0.4988812506198883,0.5130180716514587
35,"(0.5044687390327454, 0.5630553364753723)","(0.49850785732269287, 0.5149986147880554)",0.5044687390327454,0.5630553364753723,0.49850785732269287,0.5149986147880554
36,"(0.5052490830421448, 0.5662370324134827)","(0.500992476940155, 0.5056119561195374)",0.5052490830421448,0.5662370324134827,0.500992476940155,0.5056119561195374
37,"(0.5033731460571289, 0.5630919337272644)","(0.5027430653572083, 0.5020614862442017)",0.5033731460571289,0.5630919337272644,0.5027430653572083,0.5020614862442017
38,"(0.5037145018577576, 0.5689598321914673)","(0.5021176934242249, 0.5036041736602783)",0.5037145018577576,0.5689598321914673,0.5021176934242249,0.5036041736602783
39,"(0.5031234622001648, 0.5588825941085815)","(0.5019362568855286, 0.5068487524986267)",0.5031234622001648,0.5588825941085815,0.5019362568855286,0.5068487524986267
40,"(0.5053975582122803, 0.5582777857780457)","(0.49959850311279297, 0.5056526064872742)",0.5053975582122803,0.5582777857780457,0.49959850311279297,0.5056526064872742
41,"(0.5036898851394653, 0.5534699559211731)","(0.4991033375263214, 0.5044407248497009)",0.5036898851394653,0.5534699559211731,0.4991033375263214,0.5044407248497009
42,"(0.5047716498374939, 0.5656507015228271)","(0.4980487823486328, 0.511738121509552)",0.5047716498374939,0.5656507015228271,0.4980487823486328,0.511738121509552
43,"(0.5057129859924316, 0.5674270391464233)","(0.4983038604259491, 0.5105109214782715)",0.5057129859924316,0.5674270391464233,0.4983038604259491,0.5105109214782715
44,"(0.5045055747032166, 0.5666255950927734)","(0.49970367550849915, 0.5147861242294312)",0.5045055747032166,0.5666255950927734,0.49970367550849915,0.5147861242294312
45,"(0.4857054054737091, 0.5609120726585388)","(0.4761958420276642, 0.5140925645828247)",0.4857054054737091,0.5609120726585388,0.4761958420276642,0.5140925645828247
46,"(0.4169386029243469, 0.554519534111023)","(0.42095082998275757, 0.48751717805862427)",0.4169386029243469,0.554519534111023,0.42095082998275757,0.48751717805862427
47,"(0.39370909333229065, 0.5599014759063721)","(0.3714647889137268, 0.477369099855423)",0.39370909333229065,0.5599014759063721,0.3714647889137268,0.477369099855423
48,"(0.3364351689815521, 0.5472370982170105)","(0.3316795229911804, 0.4655379056930542)",0.3364351689815521,0.5472370982170105,0.3316795229911804,0.4655379056930542
49,"(0.27658048272132874, 0.5206807255744934)","(0.286325067281723, 0.4493769705295563)",0.27658048272132874,0.5206807255744934,0.286325067281723,0.4493769705295563
50,"(0.2742954194545746, 0.5134685039520264)","(0.28176718950271606, 0.45080551505088806)",0.2742954194545746,0.5134685039520264,0.28176718950271606,0.45080551505088806
51,"(0.2777511179447174, 0.5039331316947937)","(0.2806585133075714, 0.4493626654148102)",0.2777511179447174,0.5039331316947937,0.2806585133075714,0.4493626654148102
52,"(0.2757337987422943, 0.4928286075592041)","(0.2727826237678528, 0.452558308839798)",0.2757337987422943,0.4928286075592041,0.2727826237678528,0.452558308839798
53,"(0.27810224890708923, 0.4845900237560272)","(0.27096816897392273, 0.45089223980903625)",0.27810224890708923,0.4845900237560272,0.27096816897392273,0.45089223980903625
54,"(0.2750997245311737, 0.4779575765132904)","(0.27278804779052734, 0.44846320152282715)",0.2750997245311737,0.4779575765132904,0.27278804779052734,0.44846320152282715
55,"(0.2774195373058319, 0.4677458107471466)","(0.2739279866218567, 0.446433961391449)",0.2774195373058319,0.4677458107471466,0.2739279866218567,0.446433961391449
56,"(0.27612435817718506, 0.46502164006233215)","(0.2741120457649231, 0.44441545009613037)",0.27612435817718506,0.46502164006233215,0.2741120457649231,0.44441545009613037
57,"(0.2785658538341522, 0.4673559069633484)","(0.2737782597541809, 0.44216036796569824)",0.2785658538341522,0.4673559069633484,0.2737782597541809,0.44216036796569824
58,"(0.28131890296936035, 0.46680116653442383)","(0.27732053399086, 0.4491896629333496)",0.28131890296936035,0.46680116653442383,0.27732053399086,0.4491896629333496
59,"(0.28486955165863037, 0.46834802627563477)","(0.2770169973373413, 0.4493321180343628)",0.28486955165863037,0.46834802627563477,0.2770169973373413,0.4493321180343628
60,"(0.28492408990859985, 0.46312516927719116)","(0.27859318256378174, 0.451220840215683)",0.28492408990859985,0.46312516927719116,0.27859318256378174,0.451220840215683
61,"(0.28525054454803467, 0.4585629105567932)","(0.2785203754901886, 0.4471609592437744)",0.28525054454803467,0.4585629105567932,0.2785203754901886,0.4471609592437744
62,"(0.2834027409553528, 0.4551355540752411)","(0.2787584662437439, 0.4435911774635315)",0.2834027409553528,0.4551355540752411,0.2787584662437439,0.4435911774635315
63,"(0.28218188881874084, 0.45380231738090515)","(0.27852609753608704, 0.44504016637802124)",0.28218188881874084,0.45380231738090515,0.27852609753608704,0.44504016637802124
64,"(0.28239721059799194, 0.4471819996833801)","(0.277473121881485, 0.4436699450016022)",0.28239721059799194,0.4471819996833801,0.277473121881485,0.4436699450016022
65,"(0.28808149695396423, 0.4338073134422302)","(0.28479477763175964, 0.42958152294158936)",0.28808149695396423,0.4338073134422302,0.28479477763175964,0.42958152294158936
66,"(0.2942692041397095, 0.40207231044769287)","(0.2937508523464203, 0.39539140462875366)",0.2942692041397095,0.40207231044769287,0.2937508523464203,0.39539140462875366
67,"(0.30886024236679077, 0.3496556878089905)","(0.3148883283138275, 0.3393113315105438)",0.30886024236679077,0.3496556878089905,0.3148883283138275,0.3393113315105438
68,"(0.3124159276485443, 0.3334263563156128)","(0.3173891305923462, 0.3280543386936188)",0.3124159276485443,0.3334263563156128,0.3173891305923462,0.3280543386936188
69,"(0.3175281286239624, 0.3324512243270874)","(0.319293349981308, 0.3210890591144562)",0.3175281286239624,0.3324512243270874,0.319293349981308,0.3210890591144562
70,"(0.31921419501304626, 0.3202018141746521)","(0.31905439496040344, 0.315809428691864)",0.31921419501304626,0.3202018141746521,0.31905439496040344,0.315809428691864
71,"(0.3180255591869354, 0.31674766540527344)","(0.3202744722366333, 0.31439247727394104)",0.3180255591869354,0.31674766540527344,0.3202744722366333,0.31439247727394104
72,"(0.31835317611694336, 0.31648916006088257)","(0.3219960331916809, 0.31254512071609497)",0.31835317611694336,0.31648916006088257,0.3219960331916809,0.31254512071609497
73,"(0.3185746371746063, 0.313514769077301)","(0.322903573513031, 0.3146856725215912)",0.3185746371746063,0.313514769077301,0.322903573513031,0.3146856725215912
74,"(0.3200211524963379, 0.31590813398361206)","(0.3227306604385376, 0.3140351176261902)",0.3200211524963379,0.31590813398361206,0.3227306604385376,0.3140351176261902
75,"(0.31986504793167114, 0.3118232190608978)","(0.32294419407844543, 0.31004324555397034)",0.31986504793167114,0.3118232190608978,0.32294419407844543,0.31004324555397034
76,"(0.3223484754562378, 0.3158867061138153)","(0.32288649678230286, 0.31076526641845703)",0.3223484754562378,0.3158867061138153,0.32288649678230286,0.31076526641845703
77,"(0.32239726185798645, 0.3132018744945526)","(0.32354044914245605, 0.3086255192756653)",0.32239726185798645,0.3132018744945526,0.32354044914245605,0.3086255192756653
78,"(0.322171688079834, 0.31756147742271423)","(0.32320934534072876, 0.30800193548202515)",0.322171688079834,0.31756147742271423,0.32320934534072876,0.30800193548202515
79,"(0.32196947932243347, 0.31529170274734497)","(0.32381579279899597, 0.30849695205688477)",0.32196947932243347,0.31529170274734497,0.32381579279899597,0.30849695205688477
80,"(0.3205975294113159, 0.31386443972587585)","(0.32427772879600525, 0.3096693456172943)",0.3205975294113159,0.31386443972587585,0.32427772879600525,0.3096693456172943
81,"(0.3216891586780548, 0.31880730390548706)","(0.32345831394195557, 0.31125929951667786)",0.3216891586780548,0.31880730390548706,0.32345831394195557,0.31125929951667786
82,"(0.32172584533691406, 0.31805214285850525)","(0.3247610628604889, 0.3103888928890228)",0.32172584533691406,0.31805214285850525,0.3247610628604889,0.3103888928890228
83,"(0.3228888213634491, 0.32660019397735596)","(0.3252446949481964, 0.31133413314819336)",0.3228888213634491,0.32660019397735596,0.3252446949481964,0.31133413314819336
84,"(0.32145610451698303, 0.3259771168231964)","(0.3264462649822235, 0.31210505962371826)",0.32145610451698303,0.3259771168231964,0.3264462649822235,0.31210505962371826
85,"(0.31967252492904663, 0.3226281702518463)","(0.3263686001300812, 0.3135436475276947)",0.31967252492904663,0.3226281702518463,0.3263686001300812,0.3135436475276947
86,"(0.31915679574012756, 0.3153999447822571)","(0.3254520297050476, 0.31184250116348267)",0.31915679574012756,0.3153999447822571,0.3254520297050476,0.31184250116348267
87,"(0.3198435604572296, 0.3193805515766144)","(0.32375064492225647, 0.3082145154476166)",0.3198435604572296,0.3193805515766144,0.32375064492225647,0.3082145154476166
