,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.2706819772720337, 0.43100327253341675)","(0.29413995146751404, 0.3916354477405548)",0.2706819772720337,0.43100327253341675,0.29413995146751404,0.3916354477405548
1,"(0.2718577980995178, 0.4298831820487976)","(0.292009174823761, 0.39478036761283875)",0.2718577980995178,0.4298831820487976,0.292009174823761,0.39478036761283875
2,"(0.2726052403450012, 0.4296940863132477)","(0.2916421890258789, 0.39409300684928894)",0.2726052403450012,0.4296940863132477,0.2916421890258789,0.39409300684928894
3,"(0.2749266028404236, 0.42702406644821167)","(0.2932629883289337, 0.39549344778060913)",0.2749266028404236,0.42702406644821167,0.2932629883289337,0.39549344778060913
4,"(0.2748551070690155, 0.4283994138240814)","(0.2933453917503357, 0.3940717875957489)",0.2748551070690155,0.4283994138240814,0.2933453917503357,0.3940717875957489
5,"(0.2740333080291748, 0.4345889687538147)","(0.29346993565559387, 0.3927694857120514)",0.2740333080291748,0.4345889687538147,0.29346993565559387,0.3927694857120514
6,"(0.274423211812973, 0.43382418155670166)","(0.2932942509651184, 0.38975009322166443)",0.274423211812973,0.43382418155670166,0.2932942509651184,0.38975009322166443
7,"(0.27499842643737793, 0.43306341767311096)","(0.292512983083725, 0.3927859961986542)",0.27499842643737793,0.43306341767311096,0.292512983083725,0.3927859961986542
8,"(0.2745510935783386, 0.4269787073135376)","(0.2919508218765259, 0.3947323262691498)",0.2745510935783386,0.4269787073135376,0.2919508218765259,0.3947323262691498
9,"(0.27534812688827515, 0.4279116094112396)","(0.29247257113456726, 0.3951389193534851)",0.27534812688827515,0.4279116094112396,0.29247257113456726,0.3951389193534851
10,"(0.27653294801712036, 0.4309459328651428)","(0.2928694486618042, 0.394641250371933)",0.27653294801712036,0.4309459328651428,0.2928694486618042,0.394641250371933
11,"(0.27775320410728455, 0.4301857650279999)","(0.2933362126350403, 0.3971414864063263)",0.27775320410728455,0.4301857650279999,0.2933362126350403,0.3971414864063263
12,"(0.2784107029438019, 0.4311819076538086)","(0.2928919196128845, 0.3991260528564453)",0.2784107029438019,0.4311819076538086,0.2928919196128845,0.3991260528564453
13,"(0.27677908539772034, 0.4273821711540222)","(0.29326820373535156, 0.4003322720527649)",0.27677908539772034,0.4273821711540222,0.29326820373535156,0.4003322720527649
14,"(0.2781866192817688, 0.42769524455070496)","(0.29402607679367065, 0.39683955907821655)",0.2781866192817688,0.42769524455070496,0.29402607679367065,0.39683955907821655
15,"(0.27745726704597473, 0.4287150204181671)","(0.29342007637023926, 0.39762571454048157)",0.27745726704597473,0.4287150204181671,0.29342007637023926,0.39762571454048157
16,"(0.2781755030155182, 0.425310343503952)","(0.2940400242805481, 0.39798852801322937)",0.2781755030155182,0.425310343503952,0.2940400242805481,0.39798852801322937
17,"(0.27848559617996216, 0.42767083644866943)","(0.2950664162635803, 0.4033282399177551)",0.27848559617996216,0.42767083644866943,0.2950664162635803,0.4033282399177551
18,"(0.2798786759376526, 0.40356993675231934)","(0.29418110847473145, 0.4061933755874634)",0.2798786759376526,0.40356993675231934,0.29418110847473145,0.4061933755874634
19,"(0.27904951572418213, 0.4020024240016937)","(0.2935522496700287, 0.4062672257423401)",0.27904951572418213,0.4020024240016937,0.2935522496700287,0.4062672257423401
20,"(0.27731001377105713, 0.40560707449913025)","(0.2910178303718567, 0.4008926451206207)",0.27731001377105713,0.40560707449913025,0.2910178303718567,0.4008926451206207
21,"(0.27731001377105713, 0.40560707449913025)","(0.2915512025356293, 0.4021754562854767)",0.27731001377105713,0.40560707449913025,0.2915512025356293,0.4021754562854767
22,"(0.2778913676738739, 0.41527122259140015)","(0.2918132543563843, 0.3994576632976532)",0.2778913676738739,0.41527122259140015,0.2918132543563843,0.3994576632976532
23,"(0.27707478404045105, 0.4093281924724579)","(0.29118070006370544, 0.3990747332572937)",0.27707478404045105,0.4093281924724579,0.29118070006370544,0.3990747332572937
24,"(0.27707478404045105, 0.4093281924724579)","(0.2901976406574249, 0.39809757471084595)",0.27707478404045105,0.4093281924724579,0.2901976406574249,0.39809757471084595
25,"(0.2787592113018036, 0.4037034213542938)","(0.2899966835975647, 0.3984447121620178)",0.2787592113018036,0.4037034213542938,0.2899966835975647,0.3984447121620178
26,"(0.2753446102142334, 0.4068838953971863)","(0.28933805227279663, 0.39781174063682556)",0.2753446102142334,0.4068838953971863,0.28933805227279663,0.39781174063682556
27,"(0.2753446102142334, 0.4068838953971863)","(0.2872975170612335, 0.39793258905410767)",0.2753446102142334,0.4068838953971863,0.2872975170612335,0.39793258905410767
28,"(0.2750657796859741, 0.4103426933288574)","(0.2861160933971405, 0.399585485458374)",0.2750657796859741,0.4103426933288574,0.2861160933971405,0.399585485458374
